,中分類,category_id,category_od
0,水産・農林業,0050,0
1,鉱業,1050,1
2,建設業,2050,2
3,食料品,3050,3
4,繊維製品,3100,4
5,パルプ・紙,3150,5
6,化学,3200,6
7,医薬品,3250,7
8,石油・石炭製品,3300,8
9,ゴム製品,3350,9
10,ガラス・土石製品,3400,10
11,鉄鋼,3450,11
12,非鉄金属,3500,12
13,金属製品,3550,13
14,機械,3600,14
15,電気機器,3650,15
16,輸送用機器,3700,16
17,精密機器,3750,17
18,その他製品,3800,18
19,電気・ガス業,4050,19
20,陸運業,5050,20
21,海運業,5100,21
22,空運業,5150,22
23,倉庫・運輸関連業,5200,23
24,情報・通信業,5250,24
25,卸売業,6050,25
26,小売業,6100,26
27,銀行業,7050,27
28,証券、商品先物取引業,7100,28
29,保険業,7150,29
30,その他金融業,7200,30
31,不動産業,8050,31
32,サービス業,9050,32
